% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
2023	1	1	1	0	0	28	2196	0	1	1
2023	2	2	1	0	0	28	2196	0	1	1
2024	1	1	1	0	0	28	2196	0	1	1
2024	2	2	1	0	0	28	2196	0	1	1
2123	1	1	1	0	0	28	2196	0	1	1
2123	2	2	1	0	0	28	2196	0	1	1
2124	1	1	1	0	0	28	2196	0	1	1
2124	2	2	1	0	0	28	2196	0	1	1
2223	1	1	1	0	0	28	2196	0	1	1
2223	2	2	1	0	0	28	2196	0	1	1
2224	1	1	1	0	0	28	2196	0	1	1
2224	2	2	1	0	0	28	2196	0	1	1
2323	1	1	1	0	0	28	2196	0	1	1
2323	2	2	1	0	0	28	2196	0	1	1
2324	1	1	1	0	0	28	2196	0	1	1
2324	2	2	1	0	0	28	2196	0	1	1
2423	1	1	1	0	0	28	2196	0	1	1
2423	2	2	1	0	0	28	2196	0	1	1
2424	1	1	1	0	0	28	2196	0	1	1
2424	2	2	1	0	0	28	2196	0	1	1
2523	1	1	1	0	0	28	2196	0	1	1
2523	2	2	1	0	0	28	2196	0	1	1
2524	1	1	1	0	0	28	2196	0	1	1
2524	2	2	1	0	0	28	2196	0	1	1
2623	1	1	1	0	0	28	2196	0	1	1
2623	2	2	1	0	0	28	2196	0	1	1
2624	1	1	1	0	0	28	2196	0	1	1
2624	2	2	1	0	0	28	2196	0	1	1
2723	1	1	1	0	0	28	2196	0	1	1
2723	2	2	1	0	0	28	2196	0	1	1
2724	1	1	1	0	0	28	2196	0	1	1
2724	2	2	1	0	0	28	2196	0	1	1
2823	1	1	1	0	0	28	2196	0	1	1
2823	2	2	1	0	0	28	2196	0	1	1
2824	1	1	1	0	0	28	2196	0	1	1
2824	2	2	1	0	0	28	2196	0	1	1
2923	1	1	1	0	0	28	2196	0	1	1
2923	2	2	1	0	0	28	2196	0	1	1
2924	1	1	1	0	0	28	2196	0	1	1
2924	2	2	1	0	0	28	2196	0	1	1
3023	1	1	1	0	0	28	2196	0	1	1
3023	2	2	1	0	0	28	2196	0	1	1
3024	1	1	1	0	0	28	2196	0	1	1
3024	2	2	1	0	0	28	2196	0	1	1
3123	1	1	1	0	0	28	2196	0	1	1
3123	2	2	1	0	0	28	2196	0	1	1
3124	1	1	1	0	0	28	2196	0	1	1
3124	2	2	1	0	0	28	2196	0	1	1
3223	1	1	1	0	0	28	2196	0	1	1
3223	2	2	1	0	0	28	2196	0	1	1
3224	1	1	1	0	0	28	2196	0	1	1
3224	2	2	1	0	0	28	2196	0	1	1
3323	1	1	1	0	0	28	2196	0	1	1
3323	2	2	1	0	0	28	2196	0	1	1
3324	1	1	1	0	0	28	2196	0	1	1
3324	2	2	1	0	0	28	2196	0	1	1
3423	1	1	1	0	0	28	2196	0	1	1
3423	2	2	1	0	0	28	2196	0	1	1
3424	1	1	1	0	0	28	2196	0	1	1
3424	2	2	1	0	0	28	2196	0	1	1
3523	1	1	1	0	0	28	2196	0	1	1
3523	2	2	1	0	0	28	2196	0	1	1
3524	1	1	1	0	0	28	2196	0	1	1
3524	2	2	1	0	0	28	2196	0	1	1
3623	1	1	1	0	0	28	2196	0	1	1
3623	2	2	1	0	0	28	2196	0	1	1
3624	1	1	1	0	0	28	2196	0	1	1
3624	2	2	1	0	0	28	2196	0	1	1
3723	1	1	1	0	0	28	2196	0	1	1
3723	2	2	1	0	0	28	2196	0	1	1
3724	1	1	1	0	0	28	2196	0	1	1
3724	2	2	1	0	0	28	2196	0	1	1
3823	1	1	1	0	0	28	2196	0	1	1
3823	2	2	1	0	0	28	2196	0	1	1
3824	1	1	1	0	0	28	2196	0	1	1
3824	2	2	1	0	0	28	2196	0	1	1
3923	1	1	1	0	0	28	2196	0	1	1
3923	2	2	1	0	0	28	2196	0	1	1
3924	1	1	1	0	0	28	2196	0	1	1
3924	2	2	1	0	0	28	2196	0	1	1
4023	1	1	1	0	0	28	2196	0	1	1
4023	2	2	1	0	0	28	2196	0	1	1
4024	1	1	1	0	0	28	2196	0	1	1
4024	2	2	1	0	0	28	2196	0	1	1
4123	1	1	1	0	0	28	2196	0	1	1
4123	2	2	1	0	0	28	2196	0	1	1
4124	1	1	1	0	0	28	2196	0	1	1
4124	2	2	1	0	0	28	2196	0	1	1
4223	1	1	1	0	0	28	2196	0	1	1
4223	2	2	1	0	0	28	2196	0	1	1
4224	1	1	1	0	0	28	2196	0	1	1
4224	2	2	1	0	0	28	2196	0	1	1
4323	1	1	1	0	0	28	2196	0	1	1
4323	2	2	1	0	0	28	2196	0	1	1
4324	1	1	1	0	0	28	2196	0	1	1
4324	2	2	1	0	0	28	2196	0	1	1
4423	1	1	1	0	0	28	2196	0	1	1
4423	2	2	1	0	0	28	2196	0	1	1
4424	1	1	1	0	0	28	2196	0	1	1
4424	2	2	1	0	0	28	2196	0	1	1
4523	1	1	1	0	0	28	2196	0	1	1
4523	2	2	1	0	0	28	2196	0	1	1
4524	1	1	1	0	0	28	2196	0	1	1
4524	2	2	1	0	0	28	2196	0	1	1
4623	1	1	1	0	0	28	2196	0	1	1
4623	2	2	1	0	0	28	2196	0	1	1
4624	1	1	1	0	0	28	2196	0	1	1
4624	2	2	1	0	0	28	2196	0	1	1
4723	1	1	1	0	0	28	2196	0	1	1
4723	2	2	1	0	0	28	2196	0	1	1
4724	1	1	1	0	0	28	2196	0	1	1
4724	2	2	1	0	0	28	2196	0	1	1
4823	1	1	1	0	0	28	2196	0	1	1
4823	2	2	1	0	0	28	2196	0	1	1
4824	1	1	1	0	0	28	2196	0	1	1
4824	2	2	1	0	0	28	2196	0	1	1
4923	1	1	1	0	0	28	2196	0	1	1
4923	2	2	1	0	0	28	2196	0	1	1
4924	1	1	1	0	0	28	2196	0	1	1
4924	2	2	1	0	0	28	2196	0	1	1
5023	1	1	1	0	0	28	2196	0	1	1
5023	2	2	1	0	0	28	2196	0	1	1
5024	1	1	1	0	0	28	2196	0	1	1
5024	2	2	1	0	0	28	2196	0	1	1
5123	1	1	1	0	0	28	2196	0	1	1
5123	2	2	1	0	0	28	2196	0	1	1
5124	1	1	1	0	0	28	2196	0	1	1
5124	2	2	1	0	0	28	2196	0	1	1
5223	1	1	1	0	0	28	2196	0	1	1
5223	2	2	1	0	0	28	2196	0	1	1
5224	1	1	1	0	0	28	2196	0	1	1
5224	2	2	1	0	0	28	2196	0	1	1
5323	1	1	1	0	0	28	2196	0	1	1
5323	2	2	1	0	0	28	2196	0	1	1
5324	1	1	1	0	0	28	2196	0	1	1
5324	2	2	1	0	0	28	2196	0	1	1
5423	1	1	1	0	0	28	2196	0	1	1
5423	2	2	1	0	0	28	2196	0	1	1
5424	1	1	1	0	0	28	2196	0	1	1
5424	2	2	1	0	0	28	2196	0	1	1
5523	1	1	1	0	0	28	2196	0	1	1
5523	2	2	1	0	0	28	2196	0	1	1
5524	1	1	1	0	0	28	2196	0	1	1
5524	2	2	1	0	0	28	2196	0	1	1
5623	1	1	1	0	0	28	2196	0	1	1
5623	2	2	1	0	0	28	2196	0	1	1
5624	1	1	1	0	0	28	2196	0	1	1
5624	2	2	1	0	0	28	2196	0	1	1
5723	1	1	1	0	0	28	2196	0	1	1
5723	2	2	1	0	0	28	2196	0	1	1
5724	1	1	1	0	0	28	2196	0	1	1
5724	2	2	1	0	0	28	2196	0	1	1
5823	1	1	1	0	0	28	2196	0	1	1
5823	2	2	1	0	0	28	2196	0	1	1
5824	1	1	1	0	0	28	2196	0	1	1
5824	2	2	1	0	0	28	2196	0	1	1
5923	1	1	1	0	0	28	2196	0	1	1
5923	2	2	1	0	0	28	2196	0	1	1
5924	1	1	1	0	0	28	2196	0	1	1
5924	2	2	1	0	0	28	2196	0	1	1
6023	1	1	1	0	0	28	2196	0	1	1
6023	2	2	1	0	0	28	2196	0	1	1
6024	1	1	1	0	0	28	2196	0	1	1
6024	2	2	1	0	0	28	2196	0	1	1
6123	1	1	1	0	0	28	2196	0	1	1
6123	2	2	1	0	0	28	2196	0	1	1
6124	1	1	1	0	0	28	2196	0	1	1
6124	2	2	1	0	0	28	2196	0	1	1
6223	1	1	1	0	0	28	2196	0	1	1
6223	2	2	1	0	0	28	2196	0	1	1
6224	1	1	1	0	0	28	2196	0	1	1
6224	2	2	1	0	0	28	2196	0	1	1
6323	1	1	1	0	0	28	2196	0	1	1
6323	2	2	1	0	0	28	2196	0	1	1
6324	1	1	1	0	0	28	2196	0	1	1
6324	2	2	1	0	0	28	2196	0	1	1
6423	1	1	1	0	0	28	2196	0	1	1
6423	2	2	1	0	0	28	2196	0	1	1
6424	1	1	1	0	0	28	2196	0	1	1
6424	2	2	1	0	0	28	2196	0	1	1
6523	1	1	1	0	0	28	2196	0	1	1
6523	2	2	1	0	0	28	2196	0	1	1
6524	1	1	1	0	0	28	2196	0	1	1
6524	2	2	1	0	0	28	2196	0	1	1
6623	1	1	1	0	0	28	2196	0	1	1
6623	2	2	1	0	0	28	2196	0	1	1
6624	1	1	1	0	0	28	2196	0	1	1
6624	2	2	1	0	0	28	2196	0	1	1
6723	1	1	1	0	0	28	2196	0	1	1
6723	2	2	1	0	0	28	2196	0	1	1
6724	1	1	1	0	0	28	2196	0	1	1
6724	2	2	1	0	0	28	2196	0	1	1
6823	1	1	1	0	0	28	2196	0	1	1
6823	2	2	1	0	0	28	2196	0	1	1
6824	1	1	1	0	0	28	2196	0	1	1
6824	2	2	1	0	0	28	2196	0	1	1
6923	1	1	1	0	0	28	2196	0	1	1
6923	2	2	1	0	0	28	2196	0	1	1
6924	1	1	1	0	0	28	2196	0	1	1
6924	2	2	1	0	0	28	2196	0	1	1
7023	1	1	1	0	0	28	2196	0	1	1
7023	2	2	1	0	0	28	2196	0	1	1
7024	1	1	1	0	0	28	2196	0	1	1
7024	2	2	1	0	0	28	2196	0	1	1
7123	1	1	1	0	0	28	2196	0	1	1
7123	2	2	1	0	0	28	2196	0	1	1
7124	1	1	1	0	0	28	2196	0	1	1
7124	2	2	1	0	0	28	2196	0	1	1
7223	1	1	1	0	0	28	2196	0	1	1
7223	2	2	1	0	0	28	2196	0	1	1
7224	1	1	1	0	0	28	2196	0	1	1
7224	2	2	1	0	0	28	2196	0	1	1
7323	1	1	1	0	0	28	2196	0	1	1
7323	2	2	1	0	0	28	2196	0	1	1
7324	1	1	1	0	0	28	2196	0	1	1
7324	2	2	1	0	0	28	2196	0	1	1
7423	1	1	1	0	0	28	2196	0	1	1
7423	2	2	1	0	0	28	2196	0	1	1
7424	1	1	1	0	0	28	2196	0	1	1
7424	2	2	1	0	0	28	2196	0	1	1
7523	1	1	1	0	0	28	2196	0	1	1
7523	2	2	1	0	0	28	2196	0	1	1
7524	1	1	1	0	0	28	2196	0	1	1
7524	2	2	1	0	0	28	2196	0	1	1
7623	1	1	1	0	0	28	2196	0	1	1
7623	2	2	1	0	0	28	2196	0	1	1
7624	1	1	1	0	0	28	2196	0	1	1
7624	2	2	1	0	0	28	2196	0	1	1
7723	1	1	1	0	0	28	2196	0	1	1
7723	2	2	1	0	0	28	2196	0	1	1
7724	1	1	1	0	0	28	2196	0	1	1
7724	2	2	1	0	0	28	2196	0	1	1
7823	1	1	1	0	0	28	2196	0	1	1
7823	2	2	1	0	0	28	2196	0	1	1
7824	1	1	1	0	0	28	2196	0	1	1
7824	2	2	1	0	0	28	2196	0	1	1
7923	1	1	1	0	0	28	2196	0	1	1
7923	2	2	1	0	0	28	2196	0	1	1
7924	1	1	1	0	0	28	2196	0	1	1
7924	2	2	1	0	0	28	2196	0	1	1
8023	1	1	1	0	0	28	2196	0	1	1
8023	2	2	1	0	0	28	2196	0	1	1
8024	1	1	1	0	0	28	2196	0	1	1
8024	2	2	1	0	0	28	2196	0	1	1
8123	1	1	1	0	0	28	2196	0	1	1
8123	2	2	1	0	0	28	2196	0	1	1
8124	1	1	1	0	0	28	2196	0	1	1
8124	2	2	1	0	0	28	2196	0	1	1
8223	1	1	1	0	0	28	2196	0	1	1
8223	2	2	1	0	0	28	2196	0	1	1
8224	1	1	1	0	0	28	2196	0	1	1
8224	2	2	1	0	0	28	2196	0	1	1
8323	1	1	1	0	0	28	2196	0	1	1
8323	2	2	1	0	0	28	2196	0	1	1
8324	1	1	1	0	0	28	2196	0	1	1
8324	2	2	1	0	0	28	2196	0	1	1
8423	1	1	1	0	0	28	2196	0	1	1
8423	2	2	1	0	0	28	2196	0	1	1
8424	1	1	1	0	0	28	2196	0	1	1
8424	2	2	1	0	0	28	2196	0	1	1
8523	1	1	1	0	0	28	2196	0	1	1
8523	2	2	1	0	0	28	2196	0	1	1
8524	1	1	1	0	0	28	2196	0	1	1
8524	2	2	1	0	0	28	2196	0	1	1
8623	1	1	1	0	0	28	2196	0	1	1
8623	2	2	1	0	0	28	2196	0	1	1
8624	1	1	1	0	0	28	2196	0	1	1
8624	2	2	1	0	0	28	2196	0	1	1
8723	1	1	1	0	0	28	2196	0	1	1
8723	2	2	1	0	0	28	2196	0	1	1
8724	1	1	1	0	0	28	2196	0	1	1
8724	2	2	1	0	0	28	2196	0	1	1
8823	1	1	1	0	0	28	2196	0	1	1
8823	2	2	1	0	0	28	2196	0	1	1
8824	1	1	1	0	0	28	2196	0	1	1
8824	2	2	1	0	0	28	2196	0	1	1
8923	1	1	1	0	0	28	2196	0	1	1
8923	2	2	1	0	0	28	2196	0	1	1
8924	1	1	1	0	0	28	2196	0	1	1
8924	2	2	1	0	0	28	2196	0	1	1
9023	1	1	1	0	0	28	2196	0	1	1
9023	2	2	1	0	0	28	2196	0	1	1
9024	1	1	1	0	0	28	2196	0	1	1
9024	2	2	1	0	0	28	2196	0	1	1
9123	1	1	1	0	0	28	2196	0	1	1
9123	2	2	1	0	0	28	2196	0	1	1
9124	1	1	1	0	0	28	2196	0	1	1
9124	2	2	1	0	0	28	2196	0	1	1
9223	1	1	1	0	0	28	2196	0	1	1
9223	2	2	1	0	0	28	2196	0	1	1
9224	1	1	1	0	0	28	2196	0	1	1
9224	2	2	1	0	0	28	2196	0	1	1
9323	1	1	1	0	0	28	2196	0	1	1
9323	2	2	1	0	0	28	2196	0	1	1
9324	1	1	1	0	0	28	2196	0	1	1
9324	2	2	1	0	0	28	2196	0	1	1
9423	1	1	1	0	0	28	2196	0	1	1
9423	2	2	1	0	0	28	2196	0	1	1
9424	1	1	1	0	0	28	2196	0	1	1
9424	2	2	1	0	0	28	2196	0	1	1
9523	1	1	1	0	0	28	2196	0	1	1
9523	2	2	1	0	0	28	2196	0	1	1
9524	1	1	1	0	0	28	2196	0	1	1
9524	2	2	1	0	0	28	2196	0	1	1
9623	1	1	1	0	0	28	2196	0	1	1
9623	2	2	1	0	0	28	2196	0	1	1
9624	1	1	1	0	0	28	2196	0	1	1
9624	2	2	1	0	0	28	2196	0	1	1
9723	1	1	1	0	0	28	2196	0	1	1
9723	2	2	1	0	0	28	2196	0	1	1
9724	1	1	1	0	0	28	2196	0	1	1
9724	2	2	1	0	0	28	2196	0	1	1
9823	1	1	1	0	0	28	2196	0	1	1
9823	2	2	1	0	0	28	2196	0	1	1
9824	1	1	1	0	0	28	2196	0	1	1
9824	2	2	1	0	0	28	2196	0	1	1
9923	1	1	1	0	0	28	2196	0	1	1
9923	2	2	1	0	0	28	2196	0	1	1
9924	1	1	1	0	0	28	2196	0	1	1
9924	2	2	1	0	0	28	2196	0	1	1
